p_c,rho0,rc,n,M,R,M_over_R,rho_c_matter,rho_c_total,success,fail_reason,at_boundary
0.008286427728546842,0.0003,1.0,2,0.5631702135738811,2.193342203040031,0.25676349672810383,0.02878615592354568,0.029086155923545683,True,,False
0.0052777520072569105,0.0003,1.0,2,0.5195149977175348,2.2335377284029625,0.2325973683413002,0.022973358499046043,0.023273358499046045,True,,False
0.010383087899535761,0.0003,1.0,2,0.5787575951337351,2.163294080523229,0.26753532972907357,0.03222279922591419,0.03252279922591419,True,,False
0.016302150491411684,0.0003,1.0,2,0.598368556341746,2.0884896220392477,0.2865077949286076,0.04037592165067156,0.04067592165067156,True,,False
0.03207173457014383,0.0003,1.0,2,0.6035685942678268,1.9550086517303216,0.30872937249337784,0.05663191200210693,0.056931912002106934,True,,False
0.013010252169108302,0.0003,1.0,2,0.5904037405878181,2.127998900514272,0.2774455101669158,0.03606972715326289,0.03636972715326289,True,,False
0.04018663410110749,0.0003,1.0,2,0.6003654556564997,1.9093424373618684,0.3144357156205162,0.06339292870747296,0.06369292870747295,True,,False
0.02042697614083593,0.0003,1.0,2,0.6029729591110458,2.0458053968516148,0.29473622468636995,0.04519621238647762,0.04549621238647762,True,,False
0.025595479226995333,0.0003,1.0,2,0.6045577269524904,2.0007655051135034,0.3021632097351628,0.05059197488435822,0.050891974884358225,True,,False
0.05035479315420916,0.0003,1.0,2,0.5952540866791413,1.8637352544069723,0.3193876840992349,0.07096111128935986,0.07126111128935986,True,,False
0.0017086498045014841,0.001,1.0,2,0.1183010767141722,1.3442471675623573,0.08800544986730234,0.013071533209618083,0.014071533209618084,True,,False
0.06309573444801933,0.0003,1.0,2,0.5885972891123293,1.8187488190945584,0.32362758558675253,0.07943282347242815,0.07973282347242815,True,,False
0.0013636216177106907,0.001,1.0,2,0.05676026142328083,1.0639777241141084,0.053347227236867856,0.011677421023970536,0.012677421023970535,True,,False
0.0010882650800586014,0.001,1.0,2,0.008698350838664255,0.57351331068398,0.015166781095787436,0.01043199444046344,0.011431994440463441,True,,False
0.0026826957952797246,0.001,1.0,2,0.2463106213532586,1.6698516584525143,0.14750449245385047,0.016378937069540637,0.017378937069540638,True,,False
0.0021409781984274524,0.001,1.0,2,0.18309209849225916,1.5347277271646962,0.11929940096313318,0.014632081869739017,0.015632081869739016,True,,False
0.004212013901883932,0.001,1.0,2,0.3587246325869796,1.8330597144070568,0.19569718856814053,0.02052319152053094,0.021523191520530942,True,,False
0.0033614806238090617,0.001,1.0,2,0.30530047422976736,1.7660287550347527,0.17287401088990736,0.018334341067540613,0.019334341067540613,True,,False
0.006613146798410525,0.001,1.0,2,0.44648027320081995,1.9034045389557162,0.234569301513685,0.02571603934981148,0.026716039349811482,True,,False
0.0052777520072569105,0.001,1.0,2,0.4058059058605568,1.8771744405760282,0.21617911318674868,0.022973358499046043,0.023973358499046044,True,,False
0.010383087899535761,0.001,1.0,2,0.5084661357991772,1.913848199879465,0.265677359276039,0.03222279922591419,0.03322279922591419,True,,False
0.02042697614083593,0.001,1.0,2,0.5594772719464759,1.8616901926526532,0.3005211469419074,0.04519621238647762,0.04619621238647762,True,,False
