idx,v_inf,b_over_M,eps,ell,M,success,error,alpha_inf,alpha_near_horizon,r_straighten,r_inner,can_escape,n_turning_points
395,1.5,3.1318149568797815,0.8944271909999159,4.201770681920259,1.0,True,,0.06210418036545059,0.07422503904532463,nan,2.002002002002002,False,0
396,1.5,3.1622776601683795,0.8944271909999159,4.242640687119286,1.0,True,,0.06270904783161224,0.07494836339793905,nan,2.002002002002002,False,0
397,1.5,3.173295949686137,0.8944271909999159,4.257423273733773,1.0,True,,0.06292783264488844,0.07520999780303828,nan,2.002002002002002,False,0
398,1.5,3.2147769424924912,0.8944271909999159,4.313075865547286,1.0,True,,0.06375152767343191,0.07619502966860492,nan,2.002002002002002,False,0
400,1.5,3.297738928105201,0.8944271909999159,4.424381049174313,1.0,True,,0.06539904824050169,0.07816531661299217,nan,2.002002002002002,False,0
401,1.5,3.339219920911556,0.8944271909999159,4.480033640987826,1.0,True,,0.06622287491103028,0.07915057363830223,nan,2.002002002002002,False,0
399,1.5,3.2562579352988466,0.8944271909999159,4.3687284573608,1.0,True,,0.0645752660166809,0.077180135614285,nan,2.002002002002002,False,0
402,1.5,3.3807009137179107,0.8944271909999159,4.53568623280134,1.0,True,,0.06704674659467623,0.0801359076644619,nan,2.002002002002002,False,0
403,1.5,3.4221819065242656,0.8944271909999159,4.591338824614853,1.0,True,,0.06787066385812594,0.08112131966639771,nan,2.002002002002002,False,0
404,1.5,3.46366289933062,0.8944271909999159,4.646991416428366,1.0,True,,0.06869462726834645,0.08210681061972494,nan,2.002002002002002,False,0
405,1.5,3.5051438921369753,0.8944271909999159,4.70264400824188,1.0,True,,0.06951863739258894,0.08309238150075658,nan,2.002002002002002,False,0
406,1.5,3.5466248849433297,0.8944271909999159,4.7582966000553935,1.0,True,,0.07034269479839224,0.08407803328651206,nan,2.002002002002002,False,0
407,1.5,3.588105877749684,0.8944271909999159,4.813949191868907,1.0,True,,0.07116680005358646,0.08506376695472637,nan,2.002002002002002,False,0
409,1.5,3.671067863362394,0.8944271909999159,4.925254375495934,1.0,True,,0.07281515638494625,0.08703548385310315,nan,2.002002002002002,False,0
408,1.5,3.629586870556039,0.8944271909999159,4.86960178368242,1.0,True,,0.07199095372629664,0.08604958348385908,nan,2.002002002002002,False,0
410,1.5,3.7125488561687487,0.8944271909999159,4.980906967309447,1.0,True,,0.07363940859826079,0.08802146904239394,nan,2.002002002002002,False,0
411,1.5,3.754029848975103,0.8944271909999159,5.03655955912296,1.0,True,,0.07446371093527156,0.08900754003241843,nan,2.002002002002002,False,0
412,1.5,3.7955108417814585,0.8944271909999159,5.092212150936474,1.0,True,,0.07528806396531904,0.08999369780462406,nan,2.002002002002002,False,0
413,1.5,3.831186849557287,0.8944271909999159,5.140076538068012,1.0,True,,0.0759970953341177,0.09084191961524753,nan,2.002002002002002,False,0
414,1.5,3.836991834587813,0.8944271909999159,5.147864742749987,1.0,True,,0.07611246825805656,0.09097994334122786,nan,2.002002002002002,False,0
415,1.5,3.878472827394168,0.8944271909999159,5.203517334563501,1.0,True,,0.07693692438345413,0.09196627762522552,nan,2.002002002002002,False,0
418,1.5,4.002915805813232,0.8944271909999159,5.37047511000404,1.0,True,,0.0794106094601299,0.09492582280340954,nan,2.002002002002002,False,0
419,1.5,4.044396798619586,0.8944271909999159,5.4261277018175536,1.0,True,,0.08023527862232399,0.0959125219228315,nan,2.002002002002002,False,0
417,1.5,3.961434813006877,0.8944271909999159,5.314822518190527,1.0,True,,0.07858599441371324,0.09393921637133303,nan,2.002002002002002,False,0
416,1.5,3.9199538202005217,0.8944271909999159,5.259169926377013,1.0,True,,0.07776143291180171,0.09295270164040045,nan,2.002002002002002,False,0
420,1.5,4.085877791425942,0.8944271909999159,5.481780293631068,1.0,True,,0.08106000247190255,1.5707940079115232,nan,2.6237354138,True,2
421,1.5,4.127358784232296,0.8944271909999159,5.537432885444581,1.0,True,,0.08188478158081086,1.5232496398108273,nan,2.5459866918,True,2
422,1.5,4.1688397770386505,0.8944271909999159,5.593085477258094,1.0,True,,0.08270961652133636,1.445114183883621,nan,2.4978428337,True,2
423,1.5,4.210320769845005,0.8944271909999159,5.648738069071607,1.0,True,,0.08353450786611206,1.570792780499014,nan,2.4617119455,True,2
