p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,M_over_R,success,fail_reason,at_boundary
5.678547829591974e+34,0.0,5.0,2,1.2909298650584027,14.995158316970086,0.12712616730590226,True,,False
9.617248711152945e+34,0.0,5.0,2,1.5872182881739783,14.468209313764751,0.16199635271869153,True,,False
1.146362666267422e+35,0.0,5.0,2,1.6826149675251496,14.282021183990212,0.17397163134086735,True,,False
1.3664483492953243e+35,0.0,5.0,2,1.774520022993746,14.096095379823968,0.18589402692588408,True,,False
1.6287874214985499e+35,0.0,5.0,2,1.8616079990230192,13.907051420334192,0.1976680768378609,True,,False
3.288131309842434e+35,0.0,5.0,2,2.13589789656329,13.117612840596305,0.24044128495971911,True,,False
2.3142313881085676e+35,0.0,5.0,2,2.0173193624945074,13.51846601568942,0.22035890435151706,True,,False
1.9414919457438817e+35,0.0,5.0,2,1.9428673592147248,13.71462347775006,0.20919082085666038,True,,False
2.758531617629187e+35,0.0,5.0,2,2.0841794286249415,13.318371606874804,0.23108264912335041,True,,False
1e+33,0.0,10.0,2,0.3847314088242449,44.42222376271727,0.012789121355877973,True,,False
1.1919860873910918e+33,0.0,10.0,2,0.3837749811631034,42.563065020730306,0.013314569394484835,True,,False
1.6936105849167396e+33,0.0,10.0,2,0.3815866685181016,39.068275332554855,0.014422890775359343,True,,False
1.4208308325339238e+33,0.0,10.0,2,0.38272766013876197,40.77427285454294,0.013860758171291045,True,,False
2.4063341373555167e+33,0.0,10.0,2,0.3790126329395208,35.897078049197624,0.015591142733498405,True,,False
2.018760254679043e+33,0.0,10.0,2,0.3803492407428777,37.44394312528469,0.014999760947540913,True,,False
3.41899373573364e+33,0.0,10.0,2,0.3791712808150429,32.22437824922934,0.017375377540551722,True,,False
4.857811715970698e+33,0.0,10.0,2,0.39695335007761196,27.64000835484526,0.021207264964919637,True,,False
2.868316813342021e+33,0.0,10.0,2,0.3777966794592735,34.280549441713,0.01627397795590021,True,,False
8.227241341700525e+33,0.0,10.0,2,0.47534665410106225,21.760811264722953,0.032256609751637,True,,False
6.902128664695696e+33,0.0,10.0,2,0.44174030432068057,23.4568507765716,0.027808699680596093,True,,False
4.075392965871795e+33,0.0,10.0,2,0.38508240284740003,29.94864414007185,0.01898715381489455,True,,False
5.790443980602518e+33,0.0,10.0,2,0.4156549682961871,25.43597569965855,0.024130589715050093,True,,False
9.806757216915845e+33,0.0,10.0,2,0.5163958757767946,20.34918369856056,0.03747305786954991,True,,False
1.1689518164985872e+34,0.0,10.0,2,0.5648905164396275,19.2072624792168,0.043429234399291576,True,,False
1.3933743020968605e+34,0.0,10.0,2,0.6208546989070242,18.3049698811904,0.05008461212240321,True,,False
2.359833466782179e+34,0.0,10.0,2,0.8304469998063633,16.45357192742996,0.07453068063472196,True,,False
2.812888660964246e+34,0.0,10.0,2,0.9133154594314673,16.06250009194662,0.08396359530425275,True,,False
1.660882782627703e+34,0.0,10.0,2,0.6838391057271115,17.561552037753717,0.057500867736505604,True,,False
3.3529241492495396e+34,0.0,10.0,2,1.0021380569348304,15.750139570383297,0.09395643056328765,True,,False
