p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,C,y_R,k2,Lambda,cs2_max,success,at_boundary
1e+33,30000000000.0,2.0,0,0.30838082541516476,18.84024897296344,0.024170414034333263,1.0942380745285492,0.1013551743633292,8190948.904791236,0.015333805674215398,True,False
1.2349991726875902e+33,30000000000.0,2.0,0,0.3175076136746507,18.53218433118187,0.02529943914904986,1.101881795533483,0.09994332162627691,6428476.37242663,0.016169957247892216,True,False
1.5252229565390322e+33,30000000000.0,2.0,0,0.3255587903586912,18.196594356364876,0.02641938315254209,1.1132781544877057,0.09807325554865012,5079792.424849936,0.017049099716460868,True,False
1.8836490894897945e+33,30000000000.0,2.0,0,0.3325910363086283,17.83757053934858,0.027533295621337977,1.127997153796617,0.09581449657894316,4036909.1359578283,0.01797379342668189,True,False
3.548133892335731e+33,30000000000.0,2.0,0,0.3481799007392021,16.660982566992757,0.030859326836293104,1.1884223677537056,0.08730701486231601,2079819.4703840835,0.021040351964236356,True,False
2.3263050671536287e+33,30000000000.0,2.0,0,0.3386673251180813,17.4596131209753,0.028643233437082184,1.1456666404334328,0.09322859102206385,3223648.265266411,0.018945848203356753,True,False
2.87298483335368e+33,30000000000.0,2.0,0,0.3438456383264115,17.06640478202584,0.02975122405659867,1.1659253642395495,0.0903742625277251,2584814.100416076,0.019967236674625684,True,False
4.3819424216194276e+33,30000000000.0,2.0,0,0.35578779605054955,16.164004397458587,0.0325031497114686,1.2109700679855293,0.08414194810115379,1546301.0919184037,0.05537308330622471,True,False
5.411695265464648e+33,30000000000.0,2.0,0,0.36982260997571353,15.635203458124698,0.034927965003630185,1.2229929699019928,0.08205170496856845,1052276.652660677,0.06348209718440873,True,False
6.68343917568619e+33,30000000000.0,2.0,0,0.39222287016320667,15.12209302245194,0.03830049343303409,1.218755179648731,0.08158560472418186,659933.8912221224,0.07273438571330235,True,False
8.254041852680274e+33,30000000000.0,2.0,0,0.4236288609466291,14.661571638653706,0.042666633197609126,1.1964861394783313,0.08282318965591433,390498.006871702,0.0832773945949183,True,False
1.0193734859388716e+34,30000000000.0,2.0,0,0.46451377850844144,14.267879472490112,0.04807535829787345,1.155162314048211,0.0857285198835945,222546.83299220717,0.09527326858536021,True,False
1.2589254117941712e+34,30000000000.0,2.0,0,0.5157930856027425,13.95641209267569,0.054573912786216906,1.1042318695899314,0.08909901801980749,122703.28675456304,0.10889897200327418,True,False
8.413951416452034e+34,30000000000.0,2.0,0,1.3593189107862078,12.986852762278108,0.1545613146425226,0.6868087720411298,0.08167438748923467,617.291947882228,0.33712292904899444,True,False
2.928644564625249e+34,30000000000.0,2.0,0,0.8156393047702684,13.28085386818383,0.09068918701494218,0.8326508188623668,0.10165201401088128,11047.072016959439,0.18373316707951426,True,False
1.5547718420411854e+34,30000000000.0,2.0,0,0.5765854789973489,13.70779370621474,0.06211257036494278,1.04238885980287,0.09294771255081856,67027.02419689616,0.12434673106585041,True,False
1.9201419386387932e+34,30000000000.0,2.0,0,0.6468415777575061,13.517227664292873,0.07066325850957891,0.9657270468876646,0.09752567450665141,36902.80703035125,0.14182172742944413,True,False
2.3713737056616555e+34,30000000000.0,2.0,0,0.7268835665747962,13.386524707532049,0.08018264300273165,0.9069464112146798,0.09931345820579547,19976.298010454277,0.16154166549229407,True,False
3.6168736144081907e+34,30000000000.0,2.0,0,0.912754546576409,13.20822477802936,0.10204527837263588,0.7767035998022096,0.10120093996051391,6097.175747723709,0.20734645860478812,True,False
4.46683592150969e+34,30000000000.0,2.0,0,1.0171204601694968,13.14473723717971,0.11426253173125686,0.7461004886884257,0.09759088246446909,3340.402294188892,0.23491433670810688,True,False
6.81292069057965e+34,30000000000.0,2.0,0,1.2418204930198757,13.040406361920482,0.1406212837892417,0.6335983105523537,0.09259622749833743,1122.6561036358587,0.2996105698454325,True,False
1.2833151855576539e+35,30000000000.0,2.0,0,1.5931706589583416,12.841396546782898,0.18320334678216438,0.6787240291562464,0.06871384835630115,221.9657656727659,0.4231729473689013,True,False
5.516538667595586e+34,30000000000.0,2.0,0,1.1273154477915477,13.091059965954814,0.12716102120964906,0.6921501829853912,0.09529902769601928,1910.852547311416,0.2656007154118,True,False
1.039122303835167e+35,30000000000.0,2.0,0,1.4769389090636849,12.90557814694762,0.1689928880123954,0.6100009675464683,0.07929745665046906,383.5534200096316,0.3782796582968196,True,False
1.692666615037873e+35,30000000000.0,2.0,0,1.7390163405396974,12.700255486775788,0.202196934145203,0.7331674255363739,0.0581716405605646,114.74855408385443,0.4877638779772549,True,False
1.5848931924611239e+35,30000000000.0,2.0,0,1.7050571885091614,12.718900782634769,0.1979578514511059,0.6194264357567367,0.06499024766572932,142.5257304074867,0.47183233025876364,True,False
2.202201949987369e+35,30000000000.0,2.0,0,1.8667479988498918,12.543857855801848,0.21975457808811014,0.7582022278232476,0.050560444660225426,65.77032210556072,0.555038064094436,True,False
1.8077686769634454e+35,30000000000.0,2.0,0,1.772112648951206,12.673834110542034,0.20647461651928717,0.7389179212916136,0.056259785872187475,99.94785427491,0.5040544945228567,True,False
3.0599496872072085e+35,30000000000.0,2.0,0,2.0029677759198115,12.31786043230966,0.24011652210795964,0.9055355329057132,0.03937499382325447,32.88660317702675,0.610904242264541,True,False
2.511886431509572e+35,30000000000.0,2.0,0,1.9254370333632553,12.47625514231626,0.227891661137751,0.8123505873496816,0.04591893238864258,49.803326664998735,0.5907285182233336,True,False
2.351952635070971e+35,30000000000.0,2.0,0,1.896565845217933,12.505533458345806,0.22394896707213274,0.7789247207071834,0.04835661235608939,57.229412967226885,0.5727177988308453,True,False
1.9306977288832457e+35,30000000000.0,2.0,0,1.8044739422054628,12.64167252958949,0.21078001921640982,0.7467550161860033,0.05430209587809311,87.01179626962931,0.52070036277995,True,False
2.6826957952797384e+35,30000000000.0,2.0,0,1.9526846735139753,12.433987987835135,0.23190228881873418,0.8433149381877897,0.04365300365657649,43.390804019631894,0.5959928601299436,True,False
