idx,r_c,n,rho_0,success,error,r_match,M_match,p_central,rho_central,n_interior_points,overlap_integral,fractional_shift
128,0.1291549665014884,1,0.0001,False,r_max,,,,,,,
129,0.1291549665014884,1,0.00026826957952797245,False,r_max,,,,,,,
123,0.06812920690579616,8,0.0019306977288832496,False,integration_crashed,,,,,,,
122,0.06812920690579616,8,0.0007196856730011522,False,integration_crashed,,,,,,,
124,0.06812920690579616,8,0.005179474679231213,False,integration_crashed,,,,,,,
125,0.06812920690579616,8,0.013894954943731374,False,integration_crashed,,,,,,,
126,0.06812920690579616,8,0.03727593720314938,False,integration_crashed,,,,,,,
127,0.06812920690579616,8,0.1,False,integration_crashed,,,,,,,
136,0.1291549665014884,3,0.0001,False,r_max,,,,,,,
137,0.1291549665014884,3,0.00026826957952797245,False,r_max,,,,,,,
131,0.1291549665014884,1,0.0019306977288832496,False,integration_crashed,,,,,,,
130,0.1291549665014884,1,0.0007196856730011522,False,integration_crashed,,,,,,,
133,0.1291549665014884,1,0.013894954943731374,False,integration_crashed,,,,,,,
134,0.1291549665014884,1,0.03727593720314938,False,integration_crashed,,,,,,,
132,0.1291549665014884,1,0.005179474679231213,False,integration_crashed,,,,,,,
135,0.1291549665014884,1,0.1,False,integration_crashed,,,,,,,
144,0.1291549665014884,5,0.0001,False,r_max,,,,,,,
145,0.1291549665014884,5,0.00026826957952797245,False,r_max,,,,,,,
139,0.1291549665014884,3,0.0019306977288832496,False,integration_crashed,,,,,,,
138,0.1291549665014884,3,0.0007196856730011522,False,integration_crashed,,,,,,,
140,0.1291549665014884,3,0.005179474679231213,False,integration_crashed,,,,,,,
141,0.1291549665014884,3,0.013894954943731374,False,integration_crashed,,,,,,,
143,0.1291549665014884,3,0.1,False,integration_crashed,,,,,,,
142,0.1291549665014884,3,0.03727593720314938,False,integration_crashed,,,,,,,
152,0.1291549665014884,8,0.0001,False,r_max,,,,,,,
153,0.1291549665014884,8,0.00026826957952797245,False,r_max,,,,,,,
147,0.1291549665014884,5,0.0019306977288832496,False,integration_crashed,,,,,,,
146,0.1291549665014884,5,0.0007196856730011522,False,integration_crashed,,,,,,,
149,0.1291549665014884,5,0.013894954943731374,False,integration_crashed,,,,,,,
148,0.1291549665014884,5,0.005179474679231213,False,integration_crashed,,,,,,,
150,0.1291549665014884,5,0.03727593720314938,False,integration_crashed,,,,,,,
151,0.1291549665014884,5,0.1,False,integration_crashed,,,,,,,
160,0.24484367468222268,1,0.0001,False,r_max,,,,,,,
161,0.24484367468222268,1,0.00026826957952797245,False,r_max,,,,,,,
155,0.1291549665014884,8,0.0019306977288832496,False,integration_crashed,,,,,,,
154,0.1291549665014884,8,0.0007196856730011522,False,integration_crashed,,,,,,,
156,0.1291549665014884,8,0.005179474679231213,False,integration_crashed,,,,,,,
157,0.1291549665014884,8,0.013894954943731374,False,integration_crashed,,,,,,,
158,0.1291549665014884,8,0.03727593720314938,False,integration_crashed,,,,,,,
159,0.1291549665014884,8,0.1,False,integration_crashed,,,,,,,
168,0.24484367468222268,3,0.0001,False,r_max,,,,,,,
169,0.24484367468222268,3,0.00026826957952797245,False,r_max,,,,,,,
162,0.24484367468222268,1,0.0007196856730011522,False,integration_crashed,,,,,,,
163,0.24484367468222268,1,0.0019306977288832496,False,integration_crashed,,,,,,,
164,0.24484367468222268,1,0.005179474679231213,False,integration_crashed,,,,,,,
167,0.24484367468222268,1,0.1,False,integration_crashed,,,,,,,
165,0.24484367468222268,1,0.013894954943731374,False,integration_crashed,,,,,,,
166,0.24484367468222268,1,0.03727593720314938,False,integration_crashed,,,,,,,
176,0.24484367468222268,5,0.0001,False,r_max,,,,,,,
177,0.24484367468222268,5,0.00026826957952797245,False,r_max,,,,,,,
171,0.24484367468222268,3,0.0019306977288832496,False,integration_crashed,,,,,,,
170,0.24484367468222268,3,0.0007196856730011522,False,integration_crashed,,,,,,,
172,0.24484367468222268,3,0.005179474679231213,False,integration_crashed,,,,,,,
173,0.24484367468222268,3,0.013894954943731374,False,integration_crashed,,,,,,,
175,0.24484367468222268,3,0.1,False,integration_crashed,,,,,,,
174,0.24484367468222268,3,0.03727593720314938,False,integration_crashed,,,,,,,
184,0.24484367468222268,8,0.0001,False,r_max,,,,,,,
185,0.24484367468222268,8,0.00026826957952797245,False,r_max,,,,,,,
179,0.24484367468222268,5,0.0019306977288832496,False,integration_crashed,,,,,,,
178,0.24484367468222268,5,0.0007196856730011522,False,integration_crashed,,,,,,,
181,0.24484367468222268,5,0.013894954943731374,False,integration_crashed,,,,,,,
180,0.24484367468222268,5,0.005179474679231213,False,integration_crashed,,,,,,,
182,0.24484367468222268,5,0.03727593720314938,False,integration_crashed,,,,,,,
183,0.24484367468222268,5,0.1,False,integration_crashed,,,,,,,
192,0.464158883361278,1,0.0001,False,r_max,,,,,,,
193,0.464158883361278,1,0.00026826957952797245,False,r_max,,,,,,,
187,0.24484367468222268,8,0.0019306977288832496,False,integration_crashed,,,,,,,
186,0.24484367468222268,8,0.0007196856730011522,False,integration_crashed,,,,,,,
190,0.24484367468222268,8,0.03727593720314938,False,integration_crashed,,,,,,,
191,0.24484367468222268,8,0.1,False,integration_crashed,,,,,,,
189,0.24484367468222268,8,0.013894954943731374,False,integration_crashed,,,,,,,
188,0.24484367468222268,8,0.005179474679231213,False,integration_crashed,,,,,,,
200,0.464158883361278,3,0.0001,False,r_max,,,,,,,
